20220906	00:19:56	ca3fda6c-cd46-46e0-b6be-c5c6020ea01a	GET	undefined	/subdir/
20220906	00:19:57	08ca5bbf-aa14-4423-a510-0b90d8e18d13	GET	undefined	/subdir/css/style.css
20220906	00:19:57	53c65dcf-aefa-411b-9c8c-4457d834c312	GET	undefined	/favicon.ico
20220906	00:20:07	fd804b67-e1b1-4c4e-b77e-1aeedb07df5e	GET	undefined	/practice/
20221004	02:42:37	6ee1ef2b-8435-4a05-bcc2-d150e2bfafed	POST	undefined	/auth/
20221004	02:42:47	402d9153-4008-4589-bdd3-56e3ed17fcc3	POST	undefined	/auth/
20221004	02:42:50	90a94aaa-f289-4360-87e7-b4f4d869455e	POST	undefined	/auth/
20221004	02:43:05	09071f5a-0655-4e63-a38f-54fe7adccf5d	POST	undefined	/auth
20221004	02:43:41	50bf5370-ed7b-4ae6-bc07-cc2c6efd8314	POST	undefined	/employees
20221004	02:44:12	7acd8cc3-b748-499e-a470-2df62b27b90d	POST	undefined	/auth
20221004	02:44:34	674abc66-5766-4a28-b27b-b8346ad68644	GET	undefined	/employees
20221004	02:44:50	1fdfe85f-35e3-4aef-a30e-9df2202dae09	GET	undefined	/employees
20221004	02:45:37	b3fbdbd2-005b-4c18-a133-191f6cfaf0ed	POST	undefined	/auth
20221004	02:46:06	4a2310dd-6dd3-4604-b585-60e9d676b6d9	GET	undefined	/employees
20221004	18:25:13	b749872f-a4c4-4897-a966-a063b9ddf802	POST	undefined	/auth/
20221004	18:25:23	d11426f9-3ac6-4023-8372-1b1cddfd25f5	POST	undefined	/auth/
20221004	18:37:06	e02cf006-cc13-4f2c-8eb6-9908cf6ed90a	GET	undefined	/auth
20221004	18:37:24	65d29088-2777-4991-8a43-9022615a3b3e	POST	undefined	/auth
20221004	18:37:44	e4920d7f-dc35-4edf-849c-64df02861f65	GET	undefined	/employees
20221004	18:37:55	56c1b477-0d68-42dd-a459-c28aa42b811d	GET	undefined	/employees
20221004	19:27:26	e97ac67f-57a7-4dfc-bcc2-e726581a13aa	POST	undefined	/auth
20221004	19:27:56	83f645ca-f882-4c05-9df7-297cb0ff52e8	POST	undefined	/auth
20221004	19:28:07	ee724fb6-8dce-4ecb-8a99-d6918afc75b7	POST	undefined	/auth
20221004	19:28:22	ba6f49e8-dcc9-41c0-8665-bff8a6b0bca9	POST	undefined	/auth
20221004	19:29:45	40aaabf6-5d34-4a71-8ece-92be905a80af	GET	undefined	/employees
20221004	19:29:53	3013c5a4-af8d-4369-adec-97f776e18916	POST	undefined	/auth
20221004	19:30:04	414af293-8b01-4ca7-856e-89a3535e932d	GET	undefined	/employees
20221004	19:30:10	01d70103-6f45-4cb6-93bf-eb355e140c6d	GET	undefined	/employees
20221004	19:30:10	85fe9911-de0a-4af4-961f-31297f3c6fcf	GET	undefined	/employees
